eventId,period,time,away_team,home_team,home_team_side,eventType,eventOwnerTeamId,losingPlayerId,winningPlayerId,xCoord,yCoord,zoneCode,hittingPlayerId,hitteePlayerId,blockingPlayerId,shootingPlayerId,reason,playerId,shotType,goalieInNetId,awaySOG,homeSOG,secondaryReason,typeCode,descKey,duration,committedByPlayerId,drawnByPlayerId,scoringPlayerId,scoringPlayerTotal,assist1PlayerId,assist1PlayerTotal,awayScore,homeScore,discreteClip,assist2PlayerId,assist2PlayerTotal,servedByPlayerId
41,1,08:10,FLA,VGK,right,takeaway,13.0,,,46.0,-35.0,O,,,,,,8477932.0,,,,,,,,,,,,,,,,,,,,
42,1,08:24,FLA,VGK,right,hit,54.0,,,88.0,32.0,D,8480727.0,8476393.0,,,,,,,,,,,,,,,,,,,,,,,,
80,1,08:27,FLA,VGK,right,shot-on-goal,13.0,,,80.0,-17.0,O,,,,8479314.0,,,wrist,8478499.0,4.0,3.0,,,,,,,,,,,,,,,,
81,1,08:30,FLA,VGK,right,shot-on-goal,13.0,,,81.0,1.0,O,,,,8476393.0,,,backhand,8478499.0,5.0,3.0,,,,,,,,,,,,,,,,
253,1,08:30,FLA,VGK,right,shot-on-goal,13.0,,,83.0,0.0,O,,,,8477935.0,,,wrist,8478499.0,6.0,3.0,,,,,,,,,,,,,,,,
252,1,08:30,FLA,VGK,right,stoppage,,,,,,,,,,,goalie-stopped-after-sog,,,,,,,,,,,,,,,,,,,,,
185,1,08:30,FLA,VGK,right,penalty,13.0,,,86.0,2.0,O,,,,,,,,,,,,MIN,roughing,2.0,8476393.0,8478499.0,,,,,,,,,,
82,1,08:30,FLA,VGK,right,faceoff,13.0,8476905.0,8477933.0,-69.0,-22.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,09:11,FLA,VGK,right,stoppage,,,,,,,,,,,puck-in-netting,,,,,,,,,,,,,,,,,,,,,
83,1,09:11,FLA,VGK,right,faceoff,54.0,8482113.0,8478403.0,-69.0,22.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,09:14,FLA,VGK,right,stoppage,,,,,,,,,,,puck-in-benches,,,,,,,,,,,,,,,,,,,,,
84,1,09:14,FLA,VGK,right,faceoff,54.0,8482113.0,8478462.0,-69.0,22.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,09:22,FLA,VGK,right,missed-shot,54.0,,,-86.0,-11.0,O,,,,8477964.0,goalpost,,wrist,8475683.0,,,,,,,,,,,,,,,,,,
45,1,09:24,FLA,VGK,right,hit,54.0,,,-99.0,-13.0,O,8478462.0,8477986.0,,,,,,,,,,,,,,,,,,,,,,,,
46,1,09:33,FLA,VGK,right,giveaway,54.0,,,-43.0,41.0,O,,,,,,8475191.0,,,,,,,,,,,,,,,,,,,,
87,1,09:40,FLA,VGK,right,goal,13.0,,,93.0,-5.0,O,,,,,,,wrap-around,8478499.0,,,,,,,,,8470595.0,2.0,8482113.0,7.0,1.0,0.0,6335751717112.0,,,
47,1,09:40,FLA,VGK,right,faceoff,54.0,8477493.0,8478403.0,0.0,0.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,10:05,FLA,VGK,right,stoppage,,,,,,,,,,,icing,,,,,,,,,,,,,,,,,,,,,
88,1,10:05,FLA,VGK,right,faceoff,13.0,8478403.0,8470595.0,69.0,22.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,10:48,FLA,VGK,right,hit,54.0,,,-90.0,34.0,O,8477478.0,8479372.0,,,,,,,,,,,,,,,,,,,,,,,,
89,1,10:51,FLA,VGK,right,missed-shot,54.0,,,-60.0,15.0,O,,,,8480727.0,goalpost,,snap,8475683.0,,,,,,,,,,,,,,,,,,
90,1,10:55,FLA,VGK,right,missed-shot,54.0,,,-82.0,5.0,O,,,,8477478.0,wide-of-net,,tip-in,8475683.0,,,,,,,,,,,,,,,,,,
91,1,11:02,FLA,VGK,right,missed-shot,54.0,,,-38.0,33.0,O,,,,8478434.0,wide-of-net,,wrist,8475683.0,,,,,,,,,,,,,,,,,,
202,1,11:29,FLA,VGK,right,delayed-penalty,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1,11:41,FLA,VGK,right,takeaway,54.0,,,-92.0,29.0,O,,,,,,8475191.0,,,,,,,,,,,,,,,,,,,,
204,1,11:42,FLA,VGK,right,penalty,54.0,,,-3.0,41.0,N,,,,,,,,,,,,MIN,roughing,2.0,8477478.0,8479314.0,,,,,,,,,,
254,1,11:42,FLA,VGK,right,stoppage,,,,,,,,,,,tv-timeout,,,,,,tv-timeout,,,,,,,,,,,,,,,
